canonical	native
Infinity	بی‌نهایت
NaN	عدد_نیست
async	ناهمزمان
await	منتظر
break	سندىر
case	حالت
catch	توتمق
class	سينيف
const	ثابت
constructor	سازنده
continue	ادامه
debugger	ديباگر
default	پيشفرض
delete	حذف
do	کن
else	وگرنه
export	صادر
extends	گسترش
false	نادرست
finally	در_نهایت
for	برای
function	تابع
if	اگر
import	وارد
import.meta	فراداده_درون‌ریزی
in	در
instanceof	نمونه_از
let	بگذار
meta	فراداده
new	جدید
null	تهی
return	برگردان
super	ابر
switch	تغییر
target	هدف
this	این
throw	بینداز
true	درست
try	تلاش
typeof	نوع
undefined	تعریف_نشده
using	با‌استفاده
var	متغیر
void	تهی
while	تا
with	با
yield	بازده
