canonical	native
Infinity	بی‌نهایت
NaN	عدد_نیست
async	ناهمزمان
await	منتظر
break	شکن
case	مورد
catch	بگیر
class	کلاس
const	ثابت
constructor	سازنده
continue	ادامه
debugger	اشکال‌زدا
default	پیشفرض
delete	حذف
do	انجام_ده
else	وگرنه
export	صادر
extends	گسترش_می‌دهد
false	نادرست
finally	در_نهایت
for	برای
function	تابع
if	اگر
import	وارد
import.meta	فراداده_درون‌ریزی
in	در
instanceof	نمونه_از
let	بگذار
meta	فراداده
new	جدید
null	تهی
return	برگردان
super	ابر
switch	تغییر
target	هدف
this	این
throw	بینداز
true	درست
try	تلاش
typeof	نوع
undefined	تعریف_نشده
using	با‌استفاده
var	متغیر
void	تهی
while	تا_زمانی_که
with	با
yield	بازده
