canonical	native
"_"	अ्
#define	#घोषणा
#elif	#या_अगर
#else	#अन्यथा
#endif	#पूर्ण_अगर
#error	#त्रुटि
#if	#अगर
#ifdef	#अगर_घोषित
#ifndef	#अगर_अघोषित
#include	#समावेश
#line	#पंक्ति
#pragma	#आशय
#undef	#अघोषित
BUFSIZ	बफ_मान
CHAR_BIT	अक्षर_बिट
CHAR_MAX	अक्षर_उच्च
CHAR_MIN	अक्षर_न्यून
CHILD_MAX	शिशु_उच्च
CLK_TCK	घड़ी_टिक
DBL_DIG	द्विग_भग्न
DBL_EPSILON	द्विग_अंतर
DBL_MANT_DIG	द्विग_पूर्ण
DBL_MAX	द्विग_उच्च
DBL_MIN	द्विग_न्यून
DIR	सूची
EDOM	गलत_तर्क
EOF	खातापूर्ण
ERANGE	दुस्फल
EXIT_FAILURE	निकास_त्रुटि
EXIT_SUCCESS	निकास_सफल
FILE	खाता
FILENAME_MAX	खातानाम_उच्च
FLT_DIG	भग्न_भग्न
FLT_EPSILON	भग्न_अंतर
FLT_MANT_DIG	भग्न_पूर्ण
FLT_MAX	भग्न_उच्च
FLT_MIN	भग्न_न्यून
FLT_RADIX	भग्न_आधार
FOPEN_MAX	ख_खोलो_उच्च
HUGE_VAL	विशाल_मान
INFINITY	अनन्त
INT_MAX	पूर्णांक_उच्च
INT_MIN	पूर्णांक_न्यून
LDBL_DIG	द_द्वि_भग्न
LDBL_EPSILON	द_द्वि_अंतर
LDBL_MANT_DIG	द_द्वि_पूर्ण
LDBL_MAX	द_द्वि_उच्च
LDBL_MIN	द_द्वि_न्यून
LONG_MAX	दीर्घ_उच्च
LONG_MIN	दीर्घ_न्यून
L_tmpnam	ब_क्षणिक
NAN	न_अंक
NDEBUG	न_संशोधन
NULL	शून्य
RAND_MAX	अक्रम_उच्च
SCHAR_MAX	च_अक्षर_उच्च
SCHAR_MIN	च_अक्षर_न्यून
SEEK_CUR	प्रस्तुत_से
SEEK_END	अंत_से
SEEK_SET	शुरू_से
SHRT_MAX	लघु_उच्च
SHRT_MIN	लघु_न्यून
SIBGABRT	संक_पात
SIGFPE	संक_भ_त्रुटि
SIGILL	संक_अवैध
SIGINT	संक_विघ्न
SIGSEGV	संक_अंश
SIGTERM	संक_इति
SIG_DFL	संक_पूर्व
SIG_ERR	संक_त्रुटि
SIG_IGN	संक_छोड़ो
TMP_MAX	क्षणिक_उच्च
UCHAR_MAX	अच_अक्षर_उच्च
UINT_MAX	अच_पूर्णांक_उच्च
ULONG_MAX	अच_दीर्घ_उच्च
USHRT_MAX	अच_लघु_उच्च
\a	\च
\b	\म
\f	\प
\n	\न
\r	\ल
\t	\ट
\v	\ख
\x	\ष
__DATE__	__दिन__
__FILE__	__खाता__
__LINE__	__पंक्ति__
__STDC__	__मानक__
__TIME__	__समय__
_exit	_निकास
abort	पात
abs	असल
alloc.h	भाग.स
asctime	समय_ठीक
asm	यंत्र
assert	निश्चित
assert.h	निश्चित.स
atexit	निकास_पर
atof	म_से_भ
atoi	म_से_प
atol	म_से_द
auto	स्वतः
bios.h	मूलप्रण.स
break	अवरोध
bsearch	द्वा_खोज
calloc	सुस्मृति
case	हाल
ceil	उच्चमान
char	अक्षर
chdir	स_बदलो
clearerr	साफ_त्रुटि
clock	घड़ी
clock_t	घड़ी_प्रकार
close	बंद
closedir	बंद_सूची
conio.h	पट्टपन.स
const	स्थिर
continue	जारी
ctime	स_समय
ctype.h	प्रकार.स
default	शेष
difftime	स_अंतर
dir.h	सूची.स
dirname	स_नाम
div	भाग
div_t	भाग_प्रकार
do	करो
dos.h	डॉस.स
double	द्विगुन
else	अन्यथा
enum	क्रमागत
errno	त्रुटि_सं
errno.h	त्रुटिसं.स
exit	निकास
extern	बाह्य
fabs	भ_असल
fclose	ख_बंद
feof	ख_पूर्ण
ferror	ख_त्रुटि
fflush	ख_साफ
fgetc	ख_अक्षर_लो
fgetpos	ख_स्थान_लो
fgets	ख_माला_लो
float	भग्न
float.h	भग्न.स
floor	न्यूनमान
fmod	भ_शेष
fopen	ख_खोलो
for	क्रम
fork	विभाजन
fpos_t	ख_स्थान_प्रकार
fprintf	ख_लिखो
fputc	ख_अक्षर_दो
fputs	ख_माला_दो
fread	ख_पढ़ो
free	मुक्त
freopen	ख_व_खोलो
friend	मित्र
fscanf	ख_पूछो
fseek	ख_जाओ
fsetpos	ख_स्थान_दो
fstat	ख_स्थिति
ftell	ख_बताओ
fwrite	ख_डालो
getc	अ_लो
getchar	अक्षर_लो
getenv	दो_पर्या
gets	माला_लो
gettime	समय_लो
gmtime	स_जमट
goto	जाओ
if	अगर
inline	अंतरभूत
int	पूर्णांक
io.h	पन.स
isalnum	है_अक्षर_अंक
isalpha	है_अक्षर
iscntrl	है_नियंत्रण
isdigit	है_अंक
isfinite	है_सीमित
isgraph	है_चित्र
islower	है_छोटा
isodigit	है_अष्टक
isprint	है_छाप
ispunct	है_विराम
isspace	है_खाली
isupper	है_बड़ा
isxdigit	है_षष्ठादशक
jmp_buf	लाँघ_बफ
kill	समाप्त
labs	द_असल
lconv	स्था_बदल
ldiv	द_भाग
ldiv_t	द_भाग_प्रकार
limits.h	सीमा.स
locale.h	क्षेत्र.स
localeconv	क्षेत्र_बदलो
localtime	स_स्थानीय
long	दीर्घ
longjmp	दीर्घ_लाँघ
main	मुख्य
malloc	दो_स्मृति
math.h	गणित.स
mem.h	स्मृति.स
memchr	स_प्रथम
memcmp	स_भेद
memcpy	स_नकल
memmove	स_हटाओ
memset	स_रखो
mkdir	सूची_गढ़ो
mktime	स_गढ़ो
offsetof	दुरत्व
open	खोलो
opendir	सूची_खोलो
operator	चालक
pause	छोड़ो
perror	लिखो_त्रुटि
pow	घात
printf	म_लिखो
private	निजी
process.h	क्रिया.स
protected	रक्षित
ptrdiff_t	सूचक_भेद_प्रकार
public	खुला
putc	अ_दो
putchar	अक्षर_दो
puts	माला_दो
qsort	क्विक
raise	उठाओ
rand	अक्रम
read	पढ़ो
readdir	सूची_पढ़ो
realloc	पुनः_स्मृति
register	रेजिस्टर
remove	हटाओ
rename	नाम
return	वापस
rewind	शुरुआत
rewinddir	सूची_शुरु
rmdir	सूची_हटाओ
scanf	म_पूछो
setbuf	रखो_बफ
setjmp	बनाओ_लाँघ
setjmp.h	समलाँघ.स
setlocale	रखो_क्षेत्र
settime	समय_रखो
setvbuf	रखो_भबफ
short	लघु
sig_atomic_t	संक_पूर्ण_प्रकार
signal	संकेत
signal.h	संकेत.स
signed	चिन्हित
sigpending	संक_बाकी
sigsuspend	संक_रोको
size_t	माप_प्रकार
sizeof	माप
sprintf	प्र_लिखो
sqrt	वर्ग_मूल
srand	बेक्रम
sscanf	माला_पूछो
stat.h	स्थिति.स
static	अटल
stdarg.h	मानकतर्क.स
stddef.h	मानकघोष.स
stderr	मानक_त्रुटि
stdin	मानक_निवेश
stdio.h	मानकपन.स
stdlib.h	मानककोष.स
stdout	मानक_निकास
strcat	म_जोड़ो
strchr	म_अक्षर
strcmp	म_भेद
strcpy	म_नकल
strcspn	म_खोज
strerror	म_त्रुटि
strftime	स_माला
string.h	माला.स
strlen	म_माप
strncat	म_जोड़न
strncmp	म_भेदन
strncpy	म_नकलन
strrchr	म_खोजप
strspn	म_अखोज
strstr	म_माला
strtod	म_से_भग्न
strtok	म_मोहर
strtol	म_से_दीर्घ
strtoul	म_से_अदीर्घ
struct	काष्ठा
switch	चयन
system	प्रणाली
template	ढाँचा
time	समय
time.h	समय.स
time_t	समय_प्रकार
timeb.h	ब_समय.स
times	बार
tm	पंचांग
tmpfile	क्षणिक_ख
tmpnam	क्षणिक
tolower	छोटे
toupper	बड़े
typedef	प्रकार
ungetc	अक्षर_वापस
union	जोड़
unsigned	अचिन्हित
va_arg	बहु_तर्क
va_end	बहु_पूर्ण
va_list	बहु_सूची
va_start	बहु_शुरू
vfprintf	भख_लिखो
virtual	भव
void	व्योम
volatile	अस्थिर
vprintf	भ_लिखो
vsprintf	भम_लिखो
wait	रुको
wchar_t	ब_अक्षर_प्रकार
while	जबतक
write	ग_लिखो
{	अणु
}	पूर्ण
