canonical	native
alignas	محاذاة
alignof	محاذاة_من
and	و
and_eq	و_برابر
asm	اسمبلر
auto	تلقائي
bool	منطقي
break	اكسر
case	حالة
catch	التقط
char	حرف
char16_t	حرف16
char32_t	حرف32
class	فئة
co_await	انتظار_مشترك
co_return	إرجاع_مشترك
co_yield	إنتاج_مشترك
const	ثابت
constexpr	ثابت_وقت_الترجمة
continue	داوام
decltype	نوع_مشتق
delete	احذف
do	افعل
double	مزدوج
dynamic_cast	تحويل_ديناميكي
else	وإلا
enum	تعداد
explicit	صريح
export	تصدير
extern	خارجي
false	خطأ
float	عائم
for	لـ
friend	صديق
goto	اذهب_إلى
if	إذا
inline	ضمني
int	عدد_صحيح
long	طويل
mutable	قابل_تغيير
namespace	نطاق
new	جديد
noexcept	لا_استثناء
nullptr	فارغ
operator	مشغل
or	أو
or_eq	أو_برابر
private	خاص
protected	محمي
public	عام
reinterpret_cast	إعادة_تفسير
return	ارجع
short	قصير
signed	موقع
sizeof	حجم
static	ثابت
static_assert	تأكيد_ثابت
struct	هيكل
switch	تحويل
template	قالب
this	هذا
thread_local	محلي_خيط
throw	ارم
true	صحيح
try	حاول
typedef	تعريف_نوع
typeid	معرف_نوع
typename	اسم_نوع
union	اتحاد
using	استخدام
virtual	افتراضي
void	فارغ
volatile	متقلب
wchar_t	حرف_واسع
while	بينما
