canonical	native
Infinity	لانهاية
NaN	ليس_رقم
async	غير_متزامن
await	انتظر
break	كسر
case	حال
catch	قبض
class	فصل
const	ثابت
constructor	منشئ
continue	داوام
debugger	ديباگر
default	افتراضي
delete	حذف
do	افعل
else	وإلا
export	تصدير
extends	يمتد
false	خطأ
finally	أخيراً
for	لـ
function	دالة
if	إذا
import	استورد
import.meta	استيراد_فوقي
in	في
instanceof	نمونه_من
let	دع
meta	بيانات_فوقية
new	جديد
null	عدم
return	ارجع
super	فوق
switch	تحويل
target	هدف
this	هذا
throw	ارمِ
true	صحيح
try	حاول
typeof	نوع
undefined	غير_معرّف
using	باستخدام
var	متغير
void	فارغ
while	بينما
with	مع
yield	انتج
