canonical	native
alignas	تراز
alignof	تراز_از
and	و
and_eq	و_برابر
asm	اسمبلر
auto	خودکار
bool	بولی
break	شکستن
case	مورد
catch	بگیر
char	کاراکتر
char16_t	کاراکتر16
char32_t	کاراکتر32
class	کلاس
co_await	همزمان_انتظار
co_return	همزمان_بازگشت
co_yield	همزمان_پیدا
const	ثابت
constexpr	ثابت_کامپایل
continue	ادامه
decltype	نوع_استخراج
delete	حذف
do	کن
double	دوگانه
dynamic_cast	تبدیل_پویا
else	وگرنه
enum	برشمار
explicit	صریح
export	صدور
extern	خارجی
false	نادرست
float	شناور
for	برای
friend	دوست
goto	برو_به
if	اگر
inline	درون‌خطی
int	عدد_صحیح
long	طولانی
mutable	قابل_تغییر
namespace	فضای_نام
new	جدید
noexcept	بی_استثناء
nullptr	تهی
operator	عملگر
or	یا
or_eq	یا_برابر
private	خصوصی
protected	محافظت_شده
public	عمومی
reinterpret_cast	تفسیر_مجدد
return	بازگردان
short	کوتاه
signed	علامت‌دار
sizeof	اندازه
static	ایستا
static_assert	تأیید_ایستا
struct	ساختار
switch	تبدیل
template	قالب
this	این
thread_local	محلی_ریسمان
throw	پرتاب
true	درست
try	سعی
typedef	تعریف_نوع
typeid	شناسه_نوع
typename	نام_نوع
union	اتحاد
using	استفاده
virtual	مجازی
void	تهی
volatile	ناپایدار
wchar_t	کاراکتر_وسیع
while	تا
