canonical	native
alignas	هاوسەنگ
alignof	هاوسەنگی
and	و
and_eq	و_یەکسان
asm	اسمبلە
auto	خۆکار
bool	دوودەیی
break	بشکێنە
case	بابەت
catch	بگرە
char	پیت
char16_t	پیت16
char32_t	پیت32
class	کلاس
co_await	هاوپەیوەند_چاوەڕوانی
co_return	هاوپەیوەند_گەڕانەوە
co_yield	هاوپەیوەند_بەرهەم
const	جێگیر
constexpr	کۆمپایل_جێگیر
continue	بەردەوام
decltype	جۆر_وەرگرتن
delete	سڕینەوە
do	بکە
double	دوگانه
dynamic_cast	گۆڕینی_پویا
else	ئەگەر_نە
enum	ژمارە
explicit	ئاشكرا
export	هەناردن
extern	دەرەوەیی
false	هەڵە
float	شناور
for	بۆ
friend	هاوڕێ
goto	بڕۆ
if	ئەگەر
inline	ناوخۆیی
int	تەمام
long	درێژ
mutable	گۆڕاو
namespace	ناونیشان
new	نوى
noexcept	بێ_هەڵە
nullptr	بەتاڵ
operator	ئامراز
or	یان
or_eq	یان_یەکسان
private	تایبەتی
protected	پارێزراو
public	گشتی
reinterpret_cast	دوبارە_وەسف
return	بگەڕێنەوە
short	کورت
signed	نیشان‌دار
sizeof	قەبارە
static	جێگیر
static_assert	جێگیر_پشتڕاست
struct	پێکهاتە
switch	گۆڕین
template	قالب
this	ئەمە
thread_local	خێتی_ناوخۆیی
throw	هاوڕێن
true	ڕاست
try	هەوڵ
typedef	جۆر_ناسێن
typeid	جۆر_ناسنامە
typename	ناوى_جۆر
union	یەکگرتن
using	بەکارھێنان
virtual	مەجازی
void	بەتاڵ
volatile	گۆڕاو
wchar_t	پیت_پهن
while	کاتێک
