canonical	native
Infinity	بێکۆتا
NaN	نە_ژمارە
async	ناهاوسەنگ
await	چاوەڕوان
break	بشکێنە
case	بابەت
catch	بگرە
class	کلاس
const	جێگیر
constructor	دروستکەر
continue	بەردەوام
debugger	دیباگر
default	بنچینه
delete	بسڕەوە
do	بکە
else	ئەگەر_نە
export	ناردن
extends	دەرچوو
false	نەراست
finally	لەکۆتایدا
for	بۆ
function	فەنکشن
if	ئەگەر
import	هێنان
import.meta	میٹای_هێنان
in	لە
instanceof	نموونەی
let	بهێڵە
meta	میٹاداٹا
new	نوێ
null	هیچ
return	بگەڕێنەوە
super	سەروو
switch	گۆڕین
target	ئامانج
this	ئەمە
throw	هاوێنە
true	راست
try	هەوڵبدە
typeof	جۆر
undefined	ناسناسراو
using	بە_بەکارهێنان
var	گۆڕاو
void	بەتاڵ
while	کاتێک
with	لەگەڵ
yield	بەرهەم
