canonical	native
alignas	تەڭلەش
alignof	تەڭلىك
and	ۋە
and_eq	ۋە_تەڭ
asm	ئاسىمبىلر
auto	ئاپتوماتىك
bool	بۇل
break	توختا
case	ھالەت
catch	تۇت
char	ھەرپ
char16_t	ھەرپ16
char32_t	ھەرپ32
class	سىنىپ
co_await	ھەمزەمەن_كۈتۈش
co_return	ھەمزەمەن_قايتىش
co_yield	ھەمزەمەن_چىقىرىش
const	مۇقىم
constexpr	تەرجىمە_جەرىيانى
continue	داۋام
decltype	تىپ_چىقىرىش
delete	ئۆچۈر
do	قىل
double	قوش
dynamic_cast	پويالىق_ئايلاندۇرۇش
else	بولمىسا
enum	ساناق
explicit	ئاشكارا
export	چىقىرىش
extern	سىرتقى
false	يالغان
float	يۈزۈلگۈچ
for	ئۈچۈن
friend	دوست
goto	بېرىش
if	ئەگەر
inline	ئىچكى
int	پۈتۈن
long	ئۇزۇن
mutable	ئۆزگىرىشچان
namespace	نام_كېڭەش
new	يېڭى
noexcept	مۇستەسناسىز
nullptr	بوش
operator	ئامالچى
or	ياكى
or_eq	ياكى_تەڭ
private	خاس
protected	قوغدىلغان
public	ئاشكارا
reinterpret_cast	قايتا_چۈشەندۈرۈش
return	قايتۇر
short	قىسقا
signed	ئىمزالۇق
sizeof	چوڭلۇق
static	مۇقىم
static_assert	مۇقىم_تەكشۈرۈش
struct	قۇرۇلما
switch	ئالماشتۇرۇش
template	قېلىپ
this	بۇ
thread_local	يىپ_ئايلى
throw	تاشلا
true	توغرا
try	سىناش
typedef	تىپ_ئېنىقلاش
typeid	تىپ_كىملىكى
typename	تىپ_نامى
union	بىرلەشمە
using	ئىشلىتىش
virtual	ۋىرتۇئال
void	بوش
volatile	ئۆزگىرىشچان
wchar_t	كېڭ_ھەرپ
while	قەدەر
