canonical	native
alignas	الاين
alignof	الاينوف
and	اند
and_eq	اند_ايكول
asm	اسمبلر
auto	اوتوماتيك
bool	بول
break	ڤوتس
case	كس
catch	كچ
char	چار
char16_t	چار16
char32_t	چار32
class	كلاس
co_await	كو_اويت
co_return	كو_ريتيرن
co_yield	كو_ييلد
const	كونستن
constexpr	كونستكسپر
continue	ترسكن
decltype	ديكلتايب
delete	ديليت
do	لکوقن
double	دبل
dynamic_cast	داينامك_كاست
else	اݢرنه
enum	اينم
explicit	اكسبليست
export	ايكسپورت
extern	ايكسترن
false	فالس
float	فلوات
for	اونتوق
friend	فريند
goto	ڬوتو
if	اگر
inline	اينلاين
int	اينت
long	لانگ
mutable	ميوټيبل
namespace	نيمسپس
new	نيو
noexcept	نوإكسبت
nullptr	نل_پوائنٽر
operator	اوپريٽر
or	اور
or_eq	اور_ايكول
private	پرائيويٽ
protected	پروٽيڪټڊ
public	پبلڪ
reinterpret_cast	ريانتيرپريت_كاست
return	كembali
short	شورت
signed	سايند
sizeof	سايز
static	ستاتيك
static_assert	ستاتيك_اسيرت
struct	ستركت
switch	سوچ
template	ٹيمپليٽ
this	دس
thread_local	ٿريڊ_لوڪل
throw	ٿرو
true	ٹرو
try	ٽرائي
typedef	تايپديف
typeid	تايپ_آئي_ڊي
typename	تايپ_نيم
union	يونين
using	يوزنگ
virtual	ورچوئل
void	ڤويد
volatile	ڤولاتايل
wchar_t	واچار
while	سلمان
