canonical	native
Infinity	انفينيتي
NaN	نان
async	اسنچ
await	اونڠو
break	ڤوتس
case	كس
catch	تنگكڤ
class	كلاس
const	كونستن
constructor	كونستركتور
continue	ترسكن
debugger	ديباݢر
default	ڤورا
delete	حذف
do	لکوقن
else	اݢرنه
export	اكسبور
extends	مڠمبڠ
false	فلس
finally	اخرنيا
for	اونتوق
function	فنكشن
if	اگر
import	ايمڤورت
import.meta	ايمڤورت_ميتا
in	دالم
instanceof	مثال
let	لت
meta	ميتا
new	بارو
null	نل
return	كembali
super	سوڤر
switch	سوچ
target	تارگت
this	اين
throw	بالين
true	ترو
try	چوبا
typeof	جنس
undefined	انديڤايند
using	باستخدام
var	ڤاريابل
void	ڤويد
while	سلمان
with	دڠن
yield	ڤيلد
