canonical	native
Infinity	چەكسىز
NaN	سان_ئەمەس
async	ماس_ئەمەس
await	كۈت
break	توختا
case	ھالەت
catch	تۇت
class	سىنىپ
const	مۇقىم
constructor	قۇرغۇچى
continue	داۋاملاشتۇر
debugger	دىباگ
default	سۈكۈت
delete	ئۆچۈر
do	قىل
else	بولمىسا
export	چىقار
extends	كېڭەيتىش
false	يالغان
finally	ئاخىرىدا
for	ئۈچۈن
function	فۇنكسىيە
if	ئەگەر
import	ئەكىر
import.meta	كىرگۈز_مېتا
in	ئىچىدە
instanceof	مىسال
let	قوي
meta	مېتا
new	يېڭى
null	نول
return	قايتۇر
super	سۇپىر
switch	ئالماشتۇرۇش
target	نىشان
this	بۇ
throw	تاشلا
true	توغرا
try	سىنا
typeof	تۈرى
undefined	بەلگىلەنمىگەن
using	ئىشلىتىش
var	ئۆزگىرىشچان
void	بوش
while	قەدەر
with	بىلەن
yield	مەھسۇلات
