canonical	native
alignas	ညှိ
alignof	တိုင်း
and	နှင့်
and_eq	နှင့်_တူ
asm	အက်စမ်း
auto	အလိုအလျောက်
bool	ဘူးလ်
break	ဖျက်
case	ကိစ္စ
catch	ဖမ်း
char	အက္ခရာ
char16_t	အက္ခရာ16
char32_t	အက္ခရာ32
class	အတန်း
co_await	အတူ_စောင့်
co_return	အတူ_ပြန်
co_yield	အတူ_ထုတ်
const	အမြဲ
constexpr	တည်ငြိမ်_ကွန်ပိုင်
continue	ဆက်
decltype	အမျိုးအစား_ယူ
delete	ဖျက်
do	လုပ်
double	နှစ်ဆ
dynamic_cast	ပြောင်း_တက်
else	မဟုတ်ရင်
enum	စာရင်း
explicit	ရှင်း
export	တင်ပို့
extern	ပြင်ပ
false	မှား
float	အလွှာ
for	အတွက်
friend	မိတ်ဆွေ
goto	သွား
if	အကယ်၍
inline	အတွင်း
int	အပြည့်
long	ရှည်
mutable	ပြောင်းလဲနိုင်
namespace	နယ်ပယ်
new	အသစ်
noexcept	မဖြစ်နိုင်
nullptr	အလွတ်
operator	အော်ပရေတာ
or	သို့
or_eq	သို့_တူ
private	ကိုယ်ပိုင်
protected	ကာကွယ်
public	အများ
reinterpret_cast	ပြန်ဖော်ပြ
return	ပြန်
short	တို
signed	လက်မှတ်ပါ
sizeof	အရွယ်
static	အမြဲတမ်း
static_assert	တည်ငြိမ်_စစ်ဆေး
struct	ဖွဲ့စည်း
switch	ပြောင်း
template	ပုံစံ
this	ဤ
thread_local	ကြိုးအတွင်း
throw	ပစ်
true	မှန်
try	ကြိုးစား
typedef	အမျိုးအစားသတ်မှတ်
typeid	အမျိုးအစား_ID
typename	အမျိုးအစား_အမည်
union	ပေါင်းစည်း
using	အသုံး
virtual	အတု
void	အလွတ်
volatile	မတည်ငြိမ်
wchar_t	အက္ခရာကြီး
while	အထိ
