canonical	native
Infinity	အဆုံးမရှိ
NaN	မဟုတ်သောနံပါတ်
async	အချိန်မညီ
await	စောင့်
break	ဖျက်
case	ကိစ္စ
catch	ဖမ်း
class	အတန်း
const	အမြဲ
constructor	တည်ဆောက်
continue	ဆက်
debugger	ဒီဘဂ်
default	မူလ
delete	ဖျက်
do	လုပ်
else	မဟုတ်ရင်
export	တင်ပို့
extends	ချဲ့
false	မှား
finally	နောက်ဆုံး
for	အတွက်
function	လုပ်ဆောင်ချက်
if	အကယ်၍
import	တင်သွင်း
import.meta	အင်ပို့မီတာ
in	အတွင်း
instanceof	နမူနာ
let	ထား
meta	မီတာ
new	အသစ်
null	အလွတ်
return	ပြန်
super	အထက်
switch	ပြောင်း
target	ပန်းတိုင်
this	ဒီ
throw	ပစ်
true	မှန်
try	ကြိုးစား
typeof	အမျိုးအစား
undefined	မသတ်မှတ်
using	အသုံးပြု
var	အပြောင်းအလဲ
void	အလွတ်
while	အထိ
with	နှင့်
yield	ထုတ်
