canonical	native
Infinity	لامحدود
NaN	عدد_نہیں
async	غیر_ہم_وقت
await	انتظار_کرو
break	توڑو
case	کیس
catch	پکڑو
class	کلاس
const	مستقل
constructor	بنانے_والا
continue	جاری_رکھو
debugger	ڈیبگر
default	طےشدہ
delete	مٹاؤ
do	كرو
else	ورنہ
export	برآمد
extends	توسیع_کرتا_ہے
false	غلط
finally	آخرکار
for	کے_ليے
function	فنکشن
if	اگر
import	درآمد
import.meta	درآمد_میٹا
in	میں
instanceof	کی_مثال
let	دو
meta	میٹا
new	نیا
null	خالی
return	واپس_کرو
super	بالائی
switch	سوئچ
target	ہدف
this	یہ
throw	پھینکو
true	درست
try	کوشش_کرو
typeof	قسم
undefined	غير_متعین
using	استعمال_کرو
var	متغیر
void	خالی
while	جب_تك
with	کے_ساتھ
yield	پیدا_کرو
