canonical	native
alignas	سڌائي
alignof	سڌائي_جو
and	۽
and_eq	۽_برابر
asm	اسمبلر
auto	خودڪار
bool	بولين
break	ٽوڙ
case	حالت
catch	پڪڙ
char	اکر
char16_t	اکر16
char32_t	اکر32
class	ڪلاس
co_await	همزمان_انتظار
co_return	همزمان_موٽ
co_yield	همزمان_ڏيو
const	مستقل
constexpr	ڪمپائل_ثابت
continue	جاري
decltype	قسم_اخذ
delete	ختم
do	ڪر
double	ڊبل
dynamic_cast	حرڪتي_ڪاسٽ
else	ٻيئي
enum	ڳڻپ
explicit	واضح
export	ايڪسپورٽ
extern	ٻاهريون
false	غلط
float	فلوٽ
for	لاء
friend	دوست
goto	وڃو
if	اگر
inline	اندروني
int	صحیح
long	ڊگهو
mutable	بدلجڻ_جوڳي
namespace	نيم_اسپيس
new	نئون
noexcept	بغير_استثناء
nullptr	خالي
operator	آپريٽر
or	يا
or_eq	يا_برابر
private	نجي
protected	محفوظ
public	عام
reinterpret_cast	نئون_تشريح
return	موٽايو
short	ننڍو
signed	سائنڊ
sizeof	سائز
static	جامد
static_assert	جامد_جاچ
struct	ساخت
switch	مٽاسٽا
template	سانچو
this	هي
thread_local	ٿريڊ_لوڪل
throw	اڇلايو
true	سچ
try	ڪوشش
typedef	قسم_تعريف
typeid	قسم_سڃاڻپ
typename	نالو_قسم
union	يونين
using	استعمال
virtual	مجازي
void	خالي
volatile	متغير
wchar_t	اکر_وڏو
while	جيستائين
