canonical	native
Infinity	لامحدود
NaN	عدد_ناهي
async	غير_همزمان
await	انتظار
break	ٽوڙ
case	حالت
catch	پڪڙ
class	ڪلاس
const	مستقل
constructor	ٺاھيندڙ
continue	جاري
debugger	ڊيبگر
default	ڊي فالٽ
delete	ڊاهيو
do	ڪر
else	ٻيئي
export	برآمد
extends	وڌائي
false	غلط
finally	آخرڪار
for	لاء
function	فنڪشن
if	اگر
import	درآمد
import.meta	درآمد_ميٽا
in	۾
instanceof	نمونو
let	ڏي
meta	ميٽا
new	نئون
null	خالي
return	موٽايو
super	سپر
switch	مٽاسٽا
target	هدف
this	هيء
throw	اڇل
true	صحيح
try	ڪوشش
typeof	قسم
undefined	غير_متعین
using	استعمال
var	متغير
void	خالي
while	جيستائين
with	سان
yield	پيداوار
