canonical	native
alignas	ہم_سطح
alignof	ہم_سطح_کا
and	اور
and_eq	اور_برابر
asm	اسمبلی
auto	خودکار
bool	منطقی
break	توڑو
case	کیس
catch	پکڑو
char	حرف
char16_t	حرف16
char32_t	حرف32
class	کلاس
co_await	مشترکہ_انتظار
co_return	مشترکہ_واپسی
co_yield	مشترکہ_پیداوار
const	مستقل
constexpr	ترجمہ_وقتی
continue	جاری_رکھو
decltype	قسم_اخذ
delete	حذف_کرو
do	كرو
double	دوگنا
dynamic_cast	حرکی_ڈھال
else	ورنہ
enum	گنتی
explicit	واضح
export	برآمد
extern	بیرونی
false	غلط
float	اعشاری
for	کے_ليے
friend	دوست
goto	جاؤ
if	اگر
inline	اندرونی
int	عدد_صحیح
long	طویل
mutable	قابل_تبدیل
namespace	نام_فضا
new	نیا
noexcept	بلا_استثنا
nullptr	خالی
operator	عامل
or	یا
or_eq	یا_برابر
private	ذاتی
protected	محفوظ
public	عوامی
reinterpret_cast	دوبارہ_تشریح
return	واپس_کرو
short	چھوٹا
signed	دستخطی
sizeof	سائز
static	جامد
static_assert	جامد_تصدیق
struct	ساخت
switch	سوئچ
template	سانچہ
this	یہ
thread_local	تھریڈ_مقامی
throw	پھینکو
true	سچ
try	کوشش
typedef	نوع_تعریف
typeid	نوع_شناسه
typename	نام_نوع
union	یونین
using	استعمال
virtual	مجازی
void	خالی
volatile	متغیر
wchar_t	وسیع_حرف
while	جب_تك
